agency_id,agency_name,agency_order
1,内閣官房,1
2,内閣法制局,
3,人事院,
4,内閣府,4
5,宮内庁,
6,公正取引委員会,6
7,国家公安委員会,
8,警察庁,7
9,個人情報保護委員会,8
10,カジノ管理委員会,9
11,金融庁,10
12,消費者庁,11
13,こども家庭庁,12
14,デジタル庁,13
15,復興庁,14
16,総務省,15
17,公害等調整委員会,
18,消防庁,
19,法務省,16
20,出入国在留管理庁,
21,公正審査委員会,
22,公安調査庁,
23,外務省,17
24,財務省,18
25,国税庁,
26,文部科学省,19
27,スポーツ庁,
28,文化庁,
29,厚生労働省,20
30,中央労働委員会,
31,農林水産省,21
32,林野庁,
33,水産庁,
34,経済産業省,22
35,資源エネルギー庁,
36,特許庁,
37,中小企業庁,
38,国土交通省,23
39,国土交通省　観光庁,
40,国土交通省　気象庁,
41,国土交通省　運輸安全委員会,
42,国土交通省　海上保安庁,
43,環境省,24
44,原子力規制委員会,25
45,防衛省,26
46,防衛装備庁,